DESCRIPTION,ABBR_NAME,DRAFT,VERSION
"Monthly INR Monitoring for Individuals on Warfarin","INR Monitoring",1,0.000
"SCIP-VTE-2 Surgical VTE Prophylaxis",SCIP-VTE-2,1,0.000
"Beta blocker therapy",BBT,1,0.000
"SCIP - surgery patients with appropriate hair removal",SCIP-INF-6,1,0.000
TestAsthmaByChengjianChe,TestAsthma,1,0.000
"UTI CPG: Action Statement 4a Action.17","Action 202.15.17",1,0.000
"zzz-delete-Asthma Drug Therapy",Asthma,1,0.000
"Surgery Patients on Beta-Blocker Therapy Prior to Arrival Who Received a Beta-Blocker During the Perioperative Period",SCIP-Card-2,1,0.000
zztest,zztest,1,0.000
"Children's Asthma Care (CAC-1) Relievers for Inpatient Asthma",CAC-1,0,0.001
"Test 1",T-1,1,0.000
"Children's Asthma Care (CAC-2) Systemic Corticosteroids for Inpatient Asthma",CAC-2,0,0.001
"Elder Maltreatment Screen and Follow-Up Plan","Elder Abuse",1,0.000
"Heart Failure Care Pathway Rule 1 Practice","Heart Failure",1,0.000
"zzDiabetes II.1",Diabetes,1,0.000
"Basic-User Acceptance Testing Measure 4",BUATM4,0,1.000
"Heart Failure on Care Plan","Heart Failure on Care Plan",1,0.000
Diabetes2,Phenotype,1,0.000
"Heart Failure Rule 1V3","Heart Failure",1,0.000
"Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up",M128,1,0.000
"Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan",NQF418,1,0.000
"Diabetes Mellitus (T2DM)","Diabetes II (DM)",1,0.000
"Bipolar Disorder: Appraisal for risk of suicide",NQF0111,0,1.000
"Test 2","T-2 1.0",1,0.000
"Glaucoma Screening in Older Adults",Glaucoma-Screening,1,0.000
"Rheumatoid Arthritis (RA): Functional Status Assessment",RA_Funct-Status,1,0.000
zzTest2,zzTest2,1,0.000
Test,test,1,0.000
"AMI Frequency per 1000 Acute Care Admits","AMI Freq/1000 ACA",1,0.000
"Documentation of Current Medications in the Medical Record",M130,1,0.000
"Oncology: Medical and Radiation – Pain Intensity Quantified",Onc_Pain-Int-Quant,1,0.000
"Median Time from ED Arrival to ED Departure for Admitted ED Patients","Median ED Time",0,1.000
"AMI Average Length of Stay","AMI ALOS",1,0.000
"Sample Measure For Demo Only",SM,1,0.000
"Preventive Care and Screening: Cholesterol – Fasting Low Density Lipoprotein (LDL-C) Test Performed","Cholesterol Screening A",1,0.000
"Draft-Heart failure 1",Draft-HF-1,1,0.000
"Cardiac Surgery Measure",CSM,1,0.000
"zzz Childhood Asthma Care (CAC-2) Corticosteroids",CAC-2,1,0.000
"Heart Failure Discharge Instructions",HF-1,1,0.000
"Beta blocker Use in AMI",PBH001,1,0.000
